OBJECTID;weight;node_id;nps_dn;p_max
600;61370000.000000000000000;GS-3476;950;68
601;640000.000000000000000;GS-0877;200;16
602;101640000.000000000000000;GS-0697;1100;84
603;25200000.000000000000000;GS-0661;600;70
604;25200000.000000000000000;GS-0663;600;70
605;25200000.000000000000000;GS-0664;600;70
606;360000.000000000000000;GS-2012;150;16
607;1440000.000000000000000;GS-4616;150;64
608;2700000.000000000000000;GS-4428;200;68
609;2700000.000000000000000;GS-4429;200;68
610;2700000.000000000000000;GS-4705;200;68
611;2700000.000000000000000;GS-4430;200;68
612;144000000.000000000000000;GS-0054;1200;100
613;22680000.000000000000000;GS-0598;600;63
614;22680000.000000000000000;GS-6461;600;63
615;2560000.000000000000000;GS-6847;400;16
616;2560000.000000000000000;GS-6848;400;16
617;22680000.000000000000000;GS-6594;600;63
618;6250000.000000000000000;GS-6648;500;25
619;9000000.000000000000000;GS-6796;600;25
620;4000000.000000000000000;GS-6832;500;16
621;40320000.000000000000000;GS-6701;800;63
622;51030000.000000000000000;GS-6480;900;63
623;5760000.000000000000000;GS-6790;300;64
624;53760000.000000000000000;GS-6784;800;84
625;2560000.000000000000000;GS-6881;400;16
626;2560000.000000000000000;GS-6878;400;16
627;24300000.000000000000000;GS-6808;600;68
628;22680000.000000000000000;GS-6644;600;63
629;1440000.000000000000000;GS-6747;300;16
630;1440000.000000000000000;GS-6767;300;16
631;1440000.000000000000000;GS-6766;300;16
632;1440000.000000000000000;GS-6709;300;16
633;640000.000000000000000;GS-6770;200;16
